,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,-additional
192,Kenbrell Thompkins,26,NWE,WR,2,1,11,6,53,8.8,0,3,36.4,16,3.0,26.5,54.5,4.8,0,,ThomKe02
192,Kenbrell Thompkins,26,OAK,WR,12,6,37,15,209,13.9,0,10,32.4,50,1.3,17.4,40.5,5.6,0,,ThomKe02
193,Toby Gerhart,27,JAX,RB,14,7,24,20,186,9.3,0,10,62.5,26,1.4,13.3,83.3,7.8,1,,GerhTo00
194,Steven Jackson,31,ATL,RB,15,15,27,20,148,7.4,0,6,48.1,17,1.3,9.9,74.1,5.5,0,,JackSt00
195,Richard Rodgers,22,GNB,TE,16,5,30,20,225,11.3,2,10,50.0,43,1.3,14.1,66.7,7.5,0,,RodgRi00
196,Ben Watson,34,NOR,TE,16,8,31,20,136,6.8,2,9,35.5,15,1.3,8.5,64.5,4.4,0,,WatsBe00
197,Rhett Ellison,26,MIN,TE,16,13,26,19,208,10.9,1,12,61.5,40,1.2,13.0,73.1,8.0,0,,ElliRh00
198,Ladarius Green,24,SDG,TE,14,4,25,19,226,11.9,0,12,60.0,28,1.4,16.1,76.0,9.0,0,,GreeLa00
199,Derek Hagan,30,TEN,WR,16,3,34,19,254,13.4,1,10,35.3,38,1.2,15.9,55.9,7.5,0,,HagaDe00
200,Kyle Juszczyk,23,BAL,RB,16,14,27,19,182,9.6,1,6,59.3,33,1.2,11.4,70.4,6.7,2,,JuszKy00
201,Charles Sims,24,TAM,RB,8,0,27,19,190,10.0,0,7,37.0,24,2.4,23.8,70.4,7.0,2,,SimsCh00
202,C.J. Spiller,27,BUF,RB,9,5,22,19,125,6.6,1,7,59.1,25,2.1,13.9,86.4,5.7,3,,SpilC.00
203,Travis Benjamin,25,CLE,WR,16,0,46,18,314,17.4,3,14,37.0,43,1.1,19.6,39.1,6.8,2,,BenjTr00
204,Jack Doyle,24,IND,TE,16,1,22,18,118,6.6,2,7,59.1,20,1.1,7.4,81.8,5.4,0,,DoylJa00
205,Lance Dunbar,24,DAL,RB,16,0,22,18,217,12.1,0,12,59.1,40,1.1,13.6,81.8,9.9,0,,DunbLa00
206,Garrett Graham,28,HOU,TE,11,9,28,18,197,10.9,1,10,50.0,26,1.6,17.9,64.3,7.0,0,,GrahGa00
207,Chris Ivory,26,NYJ,RB,16,10,27,18,123,6.8,1,4,40.7,23,1.1,7.7,66.7,4.6,2,,IvorCh00
208,Marcedes Lewis,30,JAX,TE,8,8,31,18,206,11.4,2,10,48.4,63,2.3,25.8,58.1,6.6,0,,LewiMa00
209,Bruce Miller,27,SFO,RB,16,8,25,18,189,10.5,2,11,60.0,22,1.1,11.8,72.0,7.6,1,,MillBr02
210,Bishop Sankey,22,TEN,RB,16,9,23,18,133,7.4,0,5,47.8,18,1.1,8.3,78.3,5.8,2,,SankBi00
211,Zac Stacy,23,STL,RB,13,5,23,18,152,8.4,0,9,60.9,17,1.4,11.7,78.3,6.6,2,,StacZa00
212,James Starks,28,GNB,RB,16,0,29,18,140,7.8,0,6,34.5,28,1.1,8.8,62.1,4.8,1,,StarJa00
213,Andre Williams,22,NYG,RB,16,7,37,18,130,7.2,0,6,27.0,24,1.1,8.1,48.6,3.5,1,,WillAn00
214,Jim Dray,28,CLE,TE,16,8,27,17,242,14.2,1,12,51.9,31,1.1,15.1,63.0,9.0,0,,DrayJi00
215,Alfred Morris,26,WAS,RB,16,16,26,17,155,9.1,0,8,38.5,26,1.1,9.7,65.4,6.0,2,PB,MorrAl00
216,Latavius Murray,24,OAK,RB,15,3,23,17,143,8.4,0,3,30.4,46,1.1,9.5,73.9,6.2,1,,MurrLa00
217,Brandon Tate,27,CIN,WR,16,4,26,17,193,11.4,1,12,53.8,50,1.1,12.1,65.4,7.4,2,,TateBr00
218,Nick Toon,26,NOR,WR,8,2,23,17,215,12.6,1,13,73.9,24,2.1,26.9,73.9,9.3,1,,ToonNi00
219,Marquess Wilson,22,CHI,WR,7,6,32,17,140,8.2,1,7,40.6,17,2.4,20.0,53.1,4.4,0,,WilsMa02
220,Bryce Brown,23,BUF,RB,7,2,25,16,176,11.0,0,8,60.0,40,2.3,25.1,64.0,7.0,1,,BrowBr02
221,Knile Davis,23,KAN,RB,16,1,25,16,147,9.2,1,6,32.0,70,1.0,9.2,64.0,5.9,4,,DaviKn00
222,Daniel Fells,31,NYG,TE,16,9,20,16,188,11.8,4,12,80.0,27,1.0,11.8,80.0,9.4,1,,FellDa00
223,Tre Mason,21,STL,RB,12,9,26,16,148,9.3,1,8,46.2,35,1.3,12.3,61.5,5.7,2,,MasoTr00
224,Dennis Pitta,29,BAL,TE,3,3,21,16,125,7.8,0,7,61.9,24,5.3,41.7,76.2,6.0,0,,PittDe00
225,Dante Rosario,30,CHI,TE,16,3,22,16,116,7.3,0,3,45.5,22,1.0,7.3,72.7,5.3,1,,RosaDa00
226,Robert Turbin,25,SEA,RB,16,3,20,16,186,11.6,2,9,65.0,34,1.0,11.6,80.0,9.3,1,,TurbRo00
227,Albert Wilson,22,KAN,WR,12,2,28,16,260,16.3,0,12,53.6,48,1.3,21.7,57.1,9.3,0,,WilsAl02
228,Donnie Avery,30,KAN,WR,6,3,26,15,176,11.7,0,8,50.0,27,2.5,29.3,57.7,6.8,1,,AverDo00
229,Alfred Blue,23,HOU,RB,16,3,18,15,113,7.5,1,7,66.7,22,0.9,7.1,83.3,6.3,0,,BlueAl00
230,Corey Fuller,24,DET,WR,16,2,31,14,212,15.1,1,11,45.2,52,0.9,13.3,45.2,6.8,1,,FullCo00
231,Ted Ginn Jr.,29,ARI,WR,16,0,26,14,190,13.6,0,9,42.3,27,0.9,11.9,53.8,7.3,2,,GinnTe00
232,Josh Hill,24,NOR,TE,16,3,20,14,176,12.6,5,9,60.0,37,0.9,11.0,70.0,8.8,0,,HillJo02
233,Brandon Lloyd,33,SFO,WR,14,3,35,14,294,21.0,1,11,37.1,80,1.0,21.0,40.0,8.4,0,,LloyBr00
234,Lance Moore,31,PIT,WR,14,2,26,14,198,14.1,2,11,42.3,29,1.0,14.1,53.8,7.6,0,,MoorLa00
235,Jacob Tamme,29,DEN,TE,15,0,28,14,109,7.8,2,4,39.3,26,0.9,7.3,50.0,3.9,1,,TammJa00
236,Gary Barnidge,29,CLE,TE,13,2,25,13,156,12.0,0,9,40.0,28,1.0,12.0,52.0,6.2,0,,BarnGa01
237,Brenton Bersin,24,CAR,WR,15,1,20,13,151,11.6,1,11,65.0,29,0.9,10.1,65.0,7.6,2,,BersBr00
238,Doug Martin,25,TAM,RB,11,11,20,13,64,4.9,0,3,25.0,20,1.2,5.8,65.0,3.2,0,,MartDo00
239,Logan Paulsen,27,WAS,TE,16,12,16,13,78,6.0,1,2,50.0,16,0.8,4.9,81.3,4.9,1,,PaulLo00
240,Antone Smith,29,ATL,RB,10,0,15,13,222,17.1,3,5,66.7,74,1.3,22.2,86.7,14.8,1,,SmitAn01
241,Daniel Thomas,27,MIA,RB,12,0,19,13,121,9.3,0,8,47.4,25,1.1,10.1,68.4,6.4,1,,ThomDa03
242,Justin Brown,23,PIT,WR,8,1,21,12,94,7.8,0,4,47.6,18,1.5,11.8,57.1,4.5,1,,BrowJu00
243,Vincent Brown,25,OAK,WR,7,0,21,12,118,9.8,0,6,47.6,20,1.7,16.9,57.1,5.6,0,,BrowVi00
244,Cooper Helfet,25,SEA,TE,10,2,24,12,185,15.4,2,9,41.7,36,1.2,18.5,50.0,7.7,0,,HelfCo00
245,Junior Hemingway,26,KAN,WR,14,1,22,12,108,9.0,0,8,45.5,17,0.9,7.7,54.5,4.9,0,,HemiJu00
246,Carlos Hyde,24,SFO,RB,14,0,16,12,68,5.7,0,4,25.0,16,0.9,4.9,75.0,4.3,1,,HydeCa00
247,Dontrelle Inman,25,SDG,WR,7,0,17,12,158,13.2,0,7,70.6,28,1.7,22.6,70.6,9.3,0,,InmaDo00
248,Rishard Matthews,25,MIA,WR,14,0,22,12,135,11.3,2,9,45.5,23,0.9,9.6,54.5,6.1,1,,MattRi00
249,Denarius Moore,26,OAK,WR,10,2,27,12,115,9.6,0,6,29.6,28,1.2,11.5,44.4,4.3,1,,MoorDe02
250,Austin Pettis,26,STL,WR,5,0,17,12,118,9.8,1,7,64.7,27,2.4,23.6,70.6,6.9,0,,PettAu00
251,Mike Tolbert,29,CAR,RB,8,6,17,12,93,7.8,0,4,23.5,18,1.5,11.6,70.6,5.5,0,,TolbMi00
252,Chris Givens,25,STL,WR,14,0,20,11,159,14.5,1,5,35.0,47,0.8,11.4,55.0,8.0,0,,GiveCh00
253,Frank Gore,31,SFO,RB,16,16,19,11,111,10.1,1,2,26.3,55,0.7,6.9,57.9,5.8,2,,GoreFr00
254,Maurice Jones-Drew,29,OAK,RB,12,1,16,11,71,6.5,0,3,43.8,12,0.9,5.9,68.8,4.4,1,,DrewMa00
255,Ricardo Lockette,28,SEA,WR,16,0,15,11,195,17.7,2,5,53.3,48,0.7,12.2,73.3,13.0,0,,LockRi00
256,Bilal Powell,26,NYJ,RB,15,1,15,11,92,8.4,0,5,33.3,20,0.7,6.1,73.3,6.1,0,,PoweBi00
257,Stepfan Taylor,23,ARI,RB,14,4,15,11,79,7.2,3,5,53.3,18,0.8,5.6,73.3,5.3,0,,TaylSt00
258,Terrance West,23,CLE,RB,14,6,13,11,64,5.8,1,3,38.5,11,0.8,4.6,84.6,4.9,2,,WestTe00
259,Darrel Young,27,WAS,RB,16,10,14,11,81,7.4,2,6,50.0,20,0.7,5.1,78.6,5.8,0,,YounDa01
260,Ed Dickson,27,CAR,TE,16,10,17,10,115,11.5,1,9,52.9,34,0.6,7.2,58.8,6.8,1,,DickEd00
261,Crockett Gillmore,23,BAL,TE,15,1,15,10,121,12.1,1,8,66.7,22,0.7,8.1,66.7,8.1,0,,GillCr00
262,Ryan Griffin,24,HOU,TE,16,2,16,10,91,9.1,1,5,56.3,25,0.6,5.7,62.5,5.7,0,,GrifRy00
263,Ryan Hewitt,23,CIN,TE,16,11,15,10,86,8.6,0,3,46.7,19,0.6,5.4,66.7,5.7,0,,HewiRy00
264,Peyton Hillis,28,NYG,RB,9,0,16,10,87,8.7,0,2,37.5,26,1.1,9.7,62.5,5.4,0,,HillPe00
265,Josh Morgan,29,CHI,WR,14,7,19,10,70,7.0,1,4,42.1,13,0.7,5.0,52.6,3.7,0,,MorgJo00
266,Santana Moss,35,WAS,WR,10,0,15,10,116,11.6,0,6,53.3,19,1.0,11.6,66.7,7.7,0,,MossSa00
267,Brandon Pettigrew,29,DET,TE,14,9,15,10,70,7.0,0,4,33.3,13,0.7,5.0,66.7,4.7,0,,PettBr00
268,Anthony Sherman,26,KAN,RB,16,6,14,10,71,7.1,1,4,28.6,24,0.6,4.4,71.4,5.1,0,AP-2,SherAn00
269,Eric Weems,29,ATL,WR,16,0,11,10,102,10.2,2,5,81.8,40,0.6,6.4,90.9,9.3,0,,WeemEr00
270,LeGarrette Blount,28,2TM,RB,16,1,12,10,54,5.4,0,4,41.7,13,0.6,3.4,83.3,4.5,1,,BlouLe00
270,LeGarrette Blount,28,PIT,RB,11,0,8,6,36,6.0,0,3,37.5,13,0.5,3.3,75.0,4.5,1,,BlouLe00
270,LeGarrette Blount,28,NWE,RB,5,1,4,4,18,4.5,0,1,50.0,11,0.8,3.6,100.0,4.5,0,,BlouLe00
271,Montee Ball,24,DEN,RB,5,3,13,9,62,6.9,0,2,30.8,16,1.8,12.4,69.2,4.8,1,,BallMo00
272,Joe Banyard,26,MIN,RB,15,0,11,9,62,6.9,0,4,54.5,12,0.6,4.1,81.8,5.6,0,,BanyJo00
273,Derek Carrier,24,SFO,TE,11,1,14,9,105,11.7,0,4,64.3,23,0.8,9.5,64.3,7.5,1,,CarrDe00
274,Isaiah Crowell,21,CLE,RB,16,4,14,9,87,9.7,0,4,50.0,19,0.6,5.4,64.3,6.2,3,,CrowIs00
275,Patrick DiMarco,25,ATL,RB,16,7,14,9,62,6.9,1,4,42.9,16,0.6,3.9,64.3,4.4,0,,DiMaPa00
276,Gavin Escobar,23,DAL,TE,16,1,13,9,105,11.7,4,7,69.2,26,0.6,6.6,69.2,8.1,0,,EscoGa00
277,Rob Housler,26,ARI,TE,15,7,17,9,129,14.3,0,7,47.1,27,0.6,8.6,52.9,7.6,1,,HousRo01
278,A.J. Jenkins,25,KAN,WR,9,2,15,9,93,10.3,0,5,40.0,27,1.0,10.3,60.0,6.2,1,,JenkA.00
279,Jacoby Jones,30,BAL,WR,16,0,18,9,131,14.6,0,6,44.4,31,0.6,8.2,50.0,7.3,4,,JoneJa03
280,Erik Lorig,28,NOR,RB,10,6,10,9,27,3.0,1,2,30.0,14,0.9,2.7,90.0,2.7,1,,LoriEr99
281,Ryan Mathews,27,SDG,RB,6,6,10,9,69,7.7,0,4,80.0,16,1.5,11.5,90.0,6.9,1,,MathRy00
282,Kevin Norwood,25,SEA,WR,9,2,10,9,102,11.3,0,5,60.0,31,1.0,11.3,90.0,10.2,0,,NorwKe00
283,Dane Sanzenbacher,26,CIN,WR,10,1,15,9,105,11.7,0,5,60.0,26,0.9,10.5,60.0,7.0,1,,SanzDa00
284,Rod Streater,26,OAK,WR,3,3,13,9,84,9.3,1,5,61.5,17,3.0,28.0,69.2,6.5,0,,StreRo00
285,Ben Tate,26,2TM,RB,11,6,12,9,60,6.7,0,3,25.0,23,0.8,5.5,75.0,5.0,0,,TateBe00
285,Ben Tate,26,CLE,RB,8,6,12,9,60,6.7,0,3,25.0,23,1.1,7.5,75.0,5.0,0,,TateBe00
285,Ben Tate,26,MIN,RB,3,0,0,0,0,,0,0,,,0.0,0.0,,,0,,TateBe00
286,MarQueis Gray,25,2TM,TE,13,5,11,9,134,14.9,0,4,81.8,41,0.7,10.3,81.8,12.2,0,,GrayMa00
286,MarQueis Gray,25,MIN,TE,8,0,2,1,16,16.0,0,1,50.0,16,0.1,2.0,50.0,8.0,0,,GrayMa00
286,MarQueis Gray,25,BUF,TE,5,5,9,8,118,14.8,0,3,88.9,41,1.6,23.6,88.9,13.1,0,,GrayMa00
287,Anthony Dixon,27,BUF,RB,16,0,9,8,49,6.1,0,3,55.6,10,0.5,3.1,88.9,5.4,1,,DixoAn00
288,Cory Harkey,24,STL,RB,16,13,11,8,55,6.9,1,5,54.5,21,0.5,3.4,72.7,5.0,0,,HarkCo00
289,Santonio Holmes,30,CHI,WR,9,2,14,8,67,8.4,0,6,50.0,15,0.9,7.4,57.1,4.8,1,,HolmSa00
290,Josh Huff,23,PHI,WR,12,0,18,8,98,12.3,0,4,38.9,44,0.7,8.2,44.4,5.4,1,,HuffJo00
291,Robert Hughes,25,ARI,RB,16,4,12,8,140,17.5,0,7,66.7,49,0.5,8.8,66.7,11.7,0,,HughRo00
292,Tony Moeaki,27,SEA,TE,6,2,13,8,134,16.8,1,6,46.2,63,1.3,22.3,61.5,10.3,0,,MoeaTo00
293,David Nelson,28,NYJ,WR,6,5,16,8,65,8.1,0,4,37.5,17,1.3,10.8,50.0,4.1,2,,NelsDa01
294,Silas Redd,22,WAS,RB,15,0,10,8,107,13.4,0,5,60.0,37,0.5,7.1,80.0,10.7,1,,ReddSi00
295,Khiry Robinson,25,NOR,RB,10,3,11,8,63,7.9,0,3,27.3,17,0.8,6.3,72.7,5.7,2,,RobiKh00
296,Greg Salas,26,NYJ,WR,10,2,23,8,167,20.9,0,6,34.8,51,0.8,16.7,34.8,7.3,0,,SalaGr00
297,Lorenzo Taliaferro,23,BAL,RB,13,0,10,8,114,14.3,0,4,50.0,29,0.6,8.8,80.0,11.4,1,,TaliLo00
298,Adam Thielen,24,MIN,WR,16,2,13,8,137,17.1,1,7,53.8,44,0.5,8.6,61.5,10.5,0,,ThieAd00
299,Mike Williams,27,BUF,WR,9,0,19,8,142,17.8,1,3,31.6,80,0.9,15.8,42.1,7.5,0,,WillMi04
300,Dri Archer,23,PIT,WR,12,0,10,7,23,3.3,0,0,30.0,15,0.6,1.9,70.0,2.3,0,,ArchDr00
301,Mike Brown,25,JAX,WR,5,1,15,7,88,12.6,0,5,40.0,17,1.4,17.6,46.7,5.9,1,,BrowMi00
302,Rex Burkhead,24,CIN,RB,9,0,10,7,49,7.0,0,3,40.0,15,0.8,5.4,70.0,4.9,0,,BurkRe00
303,Michael Campanaro,23,BAL,WR,4,0,9,7,102,14.6,1,5,66.7,19,1.8,25.5,77.8,11.3,0,,CampMi02
304,Chris Gragg,24,BUF,TE,10,5,10,7,48,6.9,1,4,60.0,14,0.7,4.8,70.0,4.8,0,,GragCh00
305,Ryan Grant,24,WAS,WR,16,2,15,7,68,9.7,0,4,40.0,21,0.4,4.3,46.7,4.5,0,,GranRy01
306,Marion Grice,23,ARI,RB,10,0,11,7,29,4.1,0,3,36.4,15,0.7,2.9,63.6,2.6,0,,GricMa00
307,Dwayne Harris,27,DAL,WR,16,0,12,7,116,16.6,0,2,50.0,56,0.4,7.3,58.3,9.7,4,,HarrDw00
308,Robert Meachem,30,NOR,WR,11,2,20,7,114,16.3,0,7,35.0,25,0.6,10.4,35.0,5.7,0,,MeacRo00
309,Lee Smith,27,BUF,TE,14,10,8,7,42,6.0,1,3,62.5,18,0.5,3.0,87.5,5.3,0,,SmitLe00
310,Luke Stocker,26,TAM,RB,13,7,11,7,41,5.9,0,2,45.5,11,0.5,3.2,63.6,3.7,0,,StocLu00
311,Will Ta'ufo'ou,28,JAX,RB,16,4,8,7,81,11.6,0,5,75.0,26,0.4,5.1,87.5,10.1,0,,TaufWi00
312,Chase Coffman,28,TEN,TE,13,3,14,6,64,10.7,1,4,28.6,18,0.5,4.9,42.9,4.6,0,,CoffCh00
313,James Develin,26,NWE,RB,16,4,8,6,43,7.2,0,3,37.5,13,0.4,2.7,75.0,5.4,1,,DeveJa00
314,Kris Durham,26,TEN,WR,4,0,11,6,54,9.0,0,2,36.4,14,1.5,13.5,54.5,4.9,0,,DurhKr00
315,Bruce Ellington,23,SFO,WR,13,0,12,6,62,10.3,2,5,41.7,20,0.5,4.8,50.0,5.2,1,,ElliBr00
316,Joseph Fauria,24,DET,TE,7,0,12,6,74,12.3,1,4,41.7,26,0.9,10.6,50.0,6.2,0,,FaurJo00
317,Virgil Green,26,DEN,TE,13,9,6,6,74,12.3,1,5,100.0,38,0.5,5.7,100.0,12.3,0,,GreeVi00
318,Jonathan Grimes,25,HOU,RB,16,0,8,6,86,14.3,0,4,62.5,31,0.4,5.4,75.0,10.8,0,,GrimJo01
319,Robert Herron,22,TAM,WR,8,0,12,6,58,9.7,1,3,50.0,16,0.8,7.3,50.0,4.8,0,,HerrRo00
320,Jerrel Jernigan,25,NYG,WR,2,1,9,6,40,6.7,0,2,33.3,11,3.0,20.0,66.7,4.4,0,,JernJe00
321,Will Johnson,25,PIT,RB,16,5,9,6,41,6.8,0,3,44.4,18,0.4,2.6,66.7,4.6,0,,JohnWi00
322,Brian Leonhardt,24,OAK,TE,12,3,8,6,35,5.8,1,2,62.5,12,0.5,2.9,75.0,4.4,0,,LeonBr01
323,Greg Little,25,CIN,WR,6,1,12,6,69,11.5,0,3,41.7,21,1.0,11.5,50.0,5.8,0,,LittGr00
324,Keshawn Martin,24,HOU,WR,16,0,12,6,78,13.0,0,3,33.3,32,0.4,4.9,50.0,6.5,0,,MartKe01
325,Joe McKnight,26,KAN,RB,2,0,7,6,64,10.7,2,5,85.7,26,3.0,32.0,85.7,9.1,0,,McKnJo00
326,Zach Miller,29,SEA,TE,3,3,7,6,76,12.7,0,3,71.4,24,2.0,25.3,85.7,10.9,0,,MillZa01
327,Ace Sanders,23,JAX,WR,12,0,7,6,55,9.2,0,1,42.9,24,0.5,4.6,85.7,7.9,2,,SandAc00
328,Chris Thompson,24,WAS,RB,2,0,7,6,27,4.5,1,2,28.6,9,3.0,13.5,85.7,3.9,0,,ThomCh03
329,Zurlon Tipton,24,IND,RB,6,0,6,6,68,11.3,1,5,83.3,32,1.0,11.3,100.0,11.3,0,,TiptZu01
330,Bryan Walters,27,SEA,WR,13,0,11,6,57,9.5,0,3,36.4,17,0.5,4.4,54.5,5.2,0,,WaltBr00
331,Chris Owusu,24,2TM,WR,8,0,6,6,78,13.0,1,4,83.3,36,0.8,9.8,100.0,13.0,0,,OwusCh00
331,Chris Owusu,24,TAM,WR,3,0,2,2,20,10.0,1,1,50.0,19,0.7,6.7,100.0,10.0,0,,OwusCh00
331,Chris Owusu,24,NYJ,WR,5,0,4,4,58,14.5,0,3,100.0,36,0.8,11.6,100.0,14.5,0,,OwusCh00
332,Jackie Battle,31,TEN,RB,16,1,5,5,28,5.6,0,2,60.0,12,0.3,1.8,100.0,5.6,0,,BattJa00
333,Kevin Brock,28,CIN,TE,14,2,6,5,21,4.2,0,2,50.0,10,0.4,1.5,83.3,3.5,0,,BrocKe00
334,Andre Caldwell,29,DEN,WR,16,2,15,5,47,9.4,0,4,26.7,15,0.3,2.9,33.3,3.1,0,,CaldAn00
335,Ka'Deem Carey,22,CHI,RB,14,0,6,5,57,11.4,0,2,66.7,18,0.4,4.1,83.3,9.5,0,,CareKa00
336,Jed Collins,28,DET,RB,16,2,6,5,39,7.8,1,2,50.0,24,0.3,2.4,83.3,6.5,0,,CollJe01
337,Darren Fells,28,ARI,TE,10,5,12,5,71,14.2,0,4,33.3,24,0.5,7.1,41.7,5.9,0,,FellDa01
338,Jeff Maehl,25,PHI,WR,8,0,5,5,46,9.2,0,1,60.0,15,0.6,5.8,100.0,9.2,0,,MaehJe00
339,Kevin Ogletree,27,NYG,WR,7,0,9,5,50,10.0,0,2,55.6,15,0.7,7.1,55.6,5.6,0,,OgleKe00
340,Jamize Olawale,25,OAK,FB,16,0,6,5,18,3.6,2,2,66.7,7,0.3,1.1,83.3,3.0,0,,OlawJa00
341,Darrin Reaves,21,CAR,RB,6,1,8,5,31,6.2,0,1,37.5,16,0.8,5.2,62.5,3.9,0,,ReavDa00
342,Adrien Robinson,26,NYG,LB,16,1,7,5,50,10.0,1,3,57.1,29,0.3,3.1,71.4,7.1,0,,RobiAd00
343,Zach Sudfeld,25,NYJ,TE,16,3,7,5,85,17.0,0,3,71.4,38,0.3,5.3,71.4,12.1,0,,SudfZa00
344,Frank Summers,29,BUF,RB,10,6,8,5,9,1.8,0,0,0.0,4,0.5,0.9,62.5,1.1,0,,SummFr00
345,Brian Tyms,25,NWE,WR,11,2,11,5,82,16.4,1,3,36.4,43,0.5,7.5,45.5,7.5,0,,TymsBr00
346,Corey Washington,23,NYG,WR,14,0,8,5,52,10.4,1,4,50.0,20,0.4,3.7,62.5,6.5,0,,WashCo01
347,James White,22,NWE,RB,3,0,5,5,23,4.6,0,1,40.0,11,1.7,7.7,100.0,4.6,0,,WhitJa02
348,Fozzy Whittaker,25,CAR,RB,10,1,6,5,60,12.0,1,2,66.7,26,0.5,6.0,83.3,10.0,0,,WhitFo00
349,DeAngelo Williams,31,CAR,RB,6,6,6,5,44,8.8,0,2,66.7,30,0.8,7.3,83.3,7.3,1,,WillDe02
350,Danny Woodhead,29,SDG,RB,3,0,6,5,34,6.8,0,4,83.3,14,1.7,11.3,83.3,5.7,0,,WoodDa02
351,James Wright,23,CIN,WR,11,0,16,5,91,18.2,0,5,31.3,30,0.5,8.3,31.3,5.7,0,,WrigJa03
352,Ronnie Brown,33,2TM,RB,10,0,8,5,44,8.8,0,1,37.5,24,0.5,4.4,62.5,5.5,0,,BrowRo05
352,Ronnie Brown,33,HOU,RB,3,0,1,1,5,5.0,0,0,0.0,5,0.3,1.7,100.0,5.0,0,,BrowRo05
352,Ronnie Brown,33,SDG,RB,7,0,7,4,39,9.8,0,1,42.9,24,0.6,5.6,57.1,5.6,0,,BrowRo05
353,Orleans Darkwa,22,2TM,RB,11,0,6,5,48,9.6,0,3,66.7,17,0.5,4.4,83.3,8.0,0,,DarkOr00
353,Orleans Darkwa,22,MIA,RB,4,0,3,3,31,10.3,0,2,100.0,17,0.8,7.8,100.0,10.3,0,,DarkOr00
353,Orleans Darkwa,22,NYG,RB,7,0,3,2,17,8.5,0,1,33.3,9,0.3,2.4,66.7,5.7,0,,DarkOr00
354,Seyi Ajirotutu,27,SDG,WR,16,1,12,4,45,11.3,0,4,33.3,17,0.3,2.8,33.3,3.8,0,,AjirSe00
355,C.J. Fiedorowicz,23,HOU,TE,15,8,7,4,28,7.0,1,1,42.9,9,0.3,1.9,57.1,4.0,0,,FiedC.00
356,Frankie Hammond,24,KAN,WR,16,3,11,4,45,11.3,0,2,36.4,22,0.3,2.8,36.4,4.1,0,,HammFr00
357,James Hanna,25,DAL,TE,16,12,6,4,48,12.0,0,3,50.0,27,0.3,3.0,66.7,8.0,0,,HannJa00
358,John Kuhn,32,GNB,FB,16,2,4,4,23,5.8,0,0,75.0,9,0.3,1.4,100.0,5.8,0,PBAP-1,KuhnJo00
359,Joe Morgan,26,NOR,WR,5,2,10,4,92,23.0,0,3,40.0,62,0.8,18.4,40.0,9.2,0,,MorgJo01
360,Joseph Randle,23,DAL,RB,16,0,5,4,23,5.8,0,1,40.0,14,0.3,1.4,80.0,4.6,2,,RandJo01
361,Stevan Ridley,25,NWE,RB,6,5,5,4,20,5.0,0,0,60.0,7,0.7,3.3,80.0,4.0,0,,RidlSt00
362,Russell Shepard,24,TAM,WR,16,0,8,4,63,15.8,0,3,50.0,23,0.3,3.9,50.0,7.9,0,,ShepRu00
363,Juwan Thompson,22,DEN,RB,15,0,7,4,25,6.3,0,0,28.6,14,0.3,1.7,57.1,3.6,1,,ThomJu01
364,Brandon Williams,27,CAR,TE,14,0,8,4,44,11.0,0,4,50.0,16,0.3,3.1,50.0,5.5,0,,WillBr04
365,Ray Agnew,23,CLE,RB,12,9,9,3,15,5.0,0,1,11.1,12,0.3,1.3,33.3,1.7,0,,AgneRa00
366,Jarrett Boykin,25,GNB,WR,13,3,12,3,23,7.7,0,1,25.0,11,0.2,1.8,25.0,1.9,0,,BoykJa00
367,James Casey,30,PHI,TE,16,2,3,3,59,19.7,2,3,100.0,26,0.2,3.7,100.0,19.7,0,,CaseJa00
368,Aaron Dobson,23,NWE,WR,4,1,5,3,38,12.7,0,2,60.0,16,0.8,9.5,60.0,7.6,0,,DobsAa00
369,Tyler Eifert,24,CIN,TE,1,1,3,3,37,12.3,0,2,66.7,20,3.0,37.0,100.0,12.3,0,,EifeTy00
370,T.J. Graham,25,NYJ,WR,12,0,8,3,87,29.0,1,2,37.5,67,0.3,7.3,37.5,10.9,0,,GrahT.00
371,Demetrius Harris,23,KAN,TE,8,3,5,3,20,6.7,0,2,40.0,10,0.4,2.5,60.0,4.0,0,,HarrDe03
372,Darrius Heyward-Bey,27,PIT,WR,16,1,5,3,33,11.0,0,1,40.0,17,0.2,2.1,60.0,6.6,1,,HeywDa00
373,Michael Hoomanawanui,26,NWE,TE,16,12,6,3,44,14.7,0,2,50.0,23,0.2,2.8,50.0,7.3,0,,HoomMi00
374,Gator Hoskins,23,MIA,TE,11,0,4,3,21,7.0,0,2,50.0,14,0.3,1.9,75.0,5.3,0,,HoskHa00
375,Troy Niklas,22,ARI,TE,7,2,3,3,38,12.7,0,2,100.0,17,0.4,5.4,100.0,12.7,0,,NiklTr00
376,Quinton Patton,24,SFO,WR,4,0,8,3,44,14.7,0,1,37.5,35,0.8,11.0,37.5,5.5,1,,PattQu00
377,Cedric Peerman,28,CIN,RB,16,0,5,3,27,9.0,0,1,20.0,17,0.2,1.7,60.0,5.4,1,,PeerCe00
378,Alfonso Smith,27,SFO,RB,6,0,4,3,11,3.7,0,0,0.0,5,0.5,1.8,75.0,2.8,0,,SmitAl22
379,Matt Spaeth,31,PIT,TE,15,8,4,3,46,15.3,1,2,50.0,33,0.2,3.1,75.0,11.5,0,,SpaeMa00
